Fecha,Hora,Nombre,Calorias,Carbohidratos,Lipidos,Proteínas,Sodio,Azucar
28/08/2022,16:45,Paquete de galletas principe,362,51,15,5,0,15
28/08/2022,20:30,Ramen,384,52,15,10,1.633,1
28/08/2022,22:00,2 Sandwiches de PB&J,640,38,34,16,280,22
29/08/2022,8:00,Platano,105,27,0,1,0,14
29/08/2022,8:00,Avena 1 Copa,300,54,6,10,0,2
29/08/2022,12:00,Sandwich de Pollo,196,0,2,46,0,0
29/08/2022,12:00,Queso Mozzarela 30g,80,1,6,6,200,0
29/08/2022,13:00,Arroz 150 gr,540,129,0,9,0,9
29/08/2022,18:00,Helado de fresa light,64,9,3,1,20,0
29/08/2022,20:00,100 gr de Pollo,139,0,1,32,0,0
30/08/2022,9:00,Baguette de Salami,574,117,2,19,1.08,3
30/08/2022,9:20,Paquete de galletas trikitrakes,270,36,12,0,90,18
30/08/2022,14:00,Pollo 1 pechuga,99,0,1,23,0,0
30/08/2022,14:00,Pasta 150 gr,226,46,1,8,0,2
30/08/2022,17:30,Paleta Magnum,290,25,20,3,75,24
30/08/2022,21:40,3 Sandiwches de P&B ,639,65,35,24,651,24
31/08/2022,10:40,Huevo Revuelto,273,3,23,20,317,2
31/08/2022,13:00,1 Salchicha Americana,261,3,21,13,912,0
31/08/2022,15:00,Cubeta de Pollo Kfc 250gr,720,18,42,66,2.28,0
31/08/2022,17:00,Arroz Blanco 200 gr,587,127,1,12,1.659,0
31/08/2022,20:30,Croissant Tia Rosa con Jamon,231,26,12,5,266,6
1/9/2022,7:00,2 Tazas de Avena,639,65,35,24,651,24
1/9/2022,9:45,Platano,105,27,0,1,1,14
1/9/2022,14:00,Arroz blanco 150gr,540,129,0,9,0,9
1/9/2022,14:00,Medallon de atun,90,0,0,21,0,0
1/9/2022,19:00,Pizza casera,398,51,14,17,768,5
1/9/2022,20:45,Concha Vainilla,230,11,10,5,150,9
2/9/2022,12:00,Torta de Milanesa,670,70,30,30,0,0
2/9/2022,14:30,2 rebanadas de Pizza Walmart,560,64,22,28,1.12,6
2/9/2022,15:00,Doritos fuego,210,24,12,3,570,0
2/9/2022,19:00,Piña Colada,170,36,4,0,20,34
2/9/2022,20:00,Fideo ,210,44,1,6,0,2
2/9/2022,20:00,Chilaquiles,443,32,32,10,0,6
3/9/2022,10:45,2 Sandwiches de PB&J,640,38,34,16,280,22
3/9/2022,14:45,Queso crema,349,3,35,16,500,0
3/9/2022,14:45,Paquete de Ritz,80,10,5,1,105,1
3/9/2022,18:00,Galletas de Costco,469,61,22,7,137,33
3/9/2022,17:30,4 Quesadillas de Chicharron prensado,924,108,44,24,2.06,4
3/9/2022,20:30,Rebanada de pastel,295,45,10,7,223,36
3/9/2022,20:30,Cerveza Modelo,169,14,0,0,14,0
13/09/2022,8:00,Tacos de barbacoa,606,75,22,27,1.193,10
13/09/2022,14:00,Doritos Nacho,140,16,8,2,210,1
13/09/2022,14:30,Pechuga de pollo,290,0,12,44,132,0
13/09/2022,14:40,200gr de Arroz,450,215,0,15,0,15
13/09/2022,18:00,Pozole,365,33,16,22,882,2
13/09/2022,21:00,Tamales Oaxaqueños,570,60,24,27,1.98,6
17/09/2022,11:00,Huevos Revueltos,398,4,30,26,422,3
17/09/2022,18:00,Atun Dolores,164,4,74,39,420,0
17/09/2022,18:00,Takis Fuego,420,48,24,6,1.14,0
17/09/2022,22:00,4 rebanadas de pizza,976,144,24,56,0,0
17/09/2022,23:00,2 Palomas,190,4,0,0,0,0
25/09/2022,10:00,4 Huevos revueltos con Durita,398,4,30,26,422,3
25/09/2022,15:00,Hamburgesa,515,34,27,32,0,9
25/09/2022,15:00,Papas a la francesa,230,29,11,3,160,0
25/09/2022,21:00,3 Quesadillas,431,43,21,17,625,1
26/09/2022,9:00,Pate 110g,540,4,54,10,520,2
26/09/2022,10:00,Panecillos integrales,159,26,4,5,0,3
26/09/2022,11:00,Milka Caramel,110,12,7,1,0,0
26/09/2022,13:00,"Salchicha americana - Salchicha Americana, 99 gram",261,3,21,13,912,0
26/09/2022,13:00,"Salchicha americana - Salchicha Americana, 99 gram",261,3,21,13,912,0
26/09/2022,13:00,"Papa - Papa, 100 gram",77,17,0,2,6,1
26/09/2022,21:00,"Cereal - Cereal, 2 cup",400,66,10,18,280,20
26/09/2022,21:00,"Leche - Vaso De Leche, 2 vaso(200ml)",260,20,14,12,260,20
26/09/2022,21:00,"Avenas - Avenas, 62.5 g",219,37,4,8,9,1
26/09/2022,21:00,"Myprotein - Whey, 34.38 g",135,2,2,27,0,0
27/09/2022,9:00,"valencianas - bollo, 108.75 g",486,58,25,6,0,32
27/09/2022,11:00,"Huevos - Huevos Revueltos, 3 huevos",299,3,23,20,317,2
27/09/2022,15:00,"Dago - Baguette, 225 gramme",574,117,2,19,1.08,3
27/09/2022,19:00,"Campbell's - Spaghetti O's Beefy Tacos, 252 g",190,30,4,8,600,10
28/09/2022,8:00,"Bread - Bread Baguette, 1 baguette",600,120,4,20,0,0
28/09/2022,8:00,"Carne asada - Carne Asada, 6 tajada",336,0,22,33,276,0
28/09/2022,8:00,"Jamón pietran - Pietran, 4 lonjas",100,8,3,12,680,0
